ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,
ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,Recovery rate
Europe,471748,430354,902102,,,,,,,,,,,,Antigua  and  Barbuda,4,7,11,,,,,,,Seychelles,172,25,197,688%
Middle East,31575,44644,76219,,,,,,,,,,,,Argentina,4969,2889,7858,,,,,,,Turkmenistan,143,21,164,681%
other,948,,948,,,,,,,,,,,,Aruba,3,0,3,,,,,,,Malawi,27,4,31,675%
Nov,3386366,2637077,6023443,,,,,,,,,,,,Bahamas,7,3,10,,,,,,,Burundi,20,3,23,667%
Africa,15814,10149,25963,,,,,,,,,,,,Barbados,1,4,5,,,,,,,Monaco,85,13,98,654%
America,165016,147089,312105,,,,,,,,,,,,Belize,4,13,17,,,,,,,Solomon  Islands,13,2,15,650%
Asia and the Pacific,2489444,1773401,4262845,,,,,,,,,,,,Bermuda,25,0,25,,,,,,,Turkmenistan,141,22,163,641%
Europe,682804,660728,1343532,,,,,,,,,,,,Bolivia,74,68,142,,,,,,,Timor0Leste,128,20,148,640%
Middle East,32253,45710,77963,,,,,,,,,,,,Bonaire,0,0,0,,,,,,,Zambia,51,8,59,638%
other,1035,,1035,,,,,,,,,,,,Brazil,7031,5186,12217,,,,,,,Turkmenistan,241,38,279,634%
Dec,3947337,3261257,7208594,,,,,,,,,,,,British  Virgin  Islands,0,0,0,,,,,,,Namibia,112,18,130,622%
Africa,28934,18687,47621,,,,,,,,,,,,British Colony,0,0,0,,,,,,,Timor0Leste,167,27,194,619%
America,176059,160267,336326,,,,,,,,,,,,Canada,32151,23744,55895,,,,,,,Burkina  Faso,37,6,43,617%
Asia and the Pacific,2832492,2218326,5050818,,,,,,,,,,,,Cayman  Islands,6,0,6,,,,,,,ANDORRA,61,10,71,610%
Europe,872176,816116,1688292,,,,,,,,,,,,Chile,2479,1253,3732,,,,,,,Niger,6,1,7,600%
Middle East,36360,47861,84221,,,,,,,,,,,,Clipperton  Island,1,0,1,,,,,,,Kiribati,6,1,7,600%
other,1316,,1316,,,,,,,,,,,,Colombia,1028,470,1498,,,,,,,Central African Republic,6,1,7,600%
ผลรวมทั้งหมด,39916251,28150016,68066267,,,,,,,,,,,,Costa rica,293,77,370,,,,,,,Botswana,82,14,96,586%
,,,,,,,,,,,,,,,Cuba,22,15,37,,,,,,,Monaco,157,27,184,581%
,,,,,,,,,,,,,,,Curacao,0,0,0,,,,,,,Namibia,115,20,135,575%
,,,,,,,,,,,,,,,Dominica,10,28,38,,,,,,,Malawi,23,4,27,575%
,,,,,,,,,,,,,,,Ecuador,110,76,186,,,,,,,Djibouti,40,7,47,571%
,,,,,,,,,,,,,,,El Salvador,48,22,70,,,,,,,République du Congo,57,10,67,570%
,,,,,,,,,,,,,,,Falkland  Islands,0,0,0,,,,,,,Madagascar,142,25,167,568%
,,,,,,,,,,,,,,,French  Guiana,0,0,0,,,,,,,Eswatini,17,3,20,567%
,,,,,,,,,,,,,,,Greenland,45,0,45,,,,,,,Guyana,17,3,20,567%
,,,,,,,,,,,,,,,Grenada,10,10,20,,,,,,,Solomon  Islands,17,3,20,567%
,,,,,,,,,,,,,,,Guadalope,3,0,3,,,,,,,Angola,28,5,33,560%
,,,,,,,,,,,,,,,Guatamala,,43,43,,,,,,,Monaco,123,22,145,559%
,,,,,,,,,,,,,,,Guatemala,104,,104,,,,,,,Madagascar,99,18,117,550%
,,,,,,,,,,,,,,,Guyana,0,4,4,,,,,,,Zambia,98,18,116,544%
,,,,,,,,,,,,,,,Haiti,2,10,12,,,,,,,Monaco,122,23,145,530%
,,,,,,,,,,,,,,,Honduras,34,37,71,,,,,,,Rwanda,37,7,44,529%
,,,,,,,,,,,,,,,Jamaica,18,,18,,,,,,,Guinea,111,21,132,529%
,,,,,,,,,,,,,,,Jamica,,20,20,,,,,,,Eswatini,21,4,25,525%
,,,,,,,,,,,,,,,Martinique,2,0,2,,,,,,,Botswana,78,15,93,520%
,,,,,,,,,,,,,,,Mexico,1588,1616,3204,,,,,,,Timor0Leste,108,21,129,514%
,,,,,,,,,,,,,,,Montserrat,0,0,0,,,,,,,Zambia,87,17,104,512%
,,,,,,,,,,,,,,,Navassa Island,0,,0,,,,,,,Monaco,87,17,104,512%
,,,,,,,,,,,,,,,Netherlands  Antilles,0,2,2,,,,,,,Timor0Leste,136,27,163,504%
,,,,,,,,,,,,,,,Nicaragua,5,13,18,,,,,,,Burkina  Faso,30,6,36,500%
,,,,,,,,,,,,,,,Panama,103,25,128,,,,,,,Lesotho,5,1,6,500%
,,,,,,,,,,,,,,,Paraguay,49,29,78,,,,,,,Togo,15,3,18,500%
,,,,,,,,,,,,,,,Peru,495,458,953,,,,,,,Botswana,40,8,48,500%
,,,,,,,,,,,,,,,Puerto Rico,28,0,28,,,,,,,Djibouti,20,4,24,500%
,,,,,,,,,,,,,,,República Dominicana,28,25,53,,,,,,,Tonga,10,2,12,500%
,,,,,,,,,,,,,,,Saba,0,0,0,,,,,,,Botswana,80,16,96,500%
,,,,,,,,,,,,,,,Saint  Barthelemy,0,0,0,,,,,,,Mayotte,10,2,12,500%
,,,,,,,,,,,,,,,Saint  Eustatius,0,0,0,,,,,,,Nauru,10,2,12,500%
,,,,,,,,,,,,,,,Saint  Lucia,9,14,23,,,,,,,Turkmenistan,169,34,203,497%
,,,,,,,,,,,,,,,Saint  Martin,2,0,2,,,,,,,Madagascar,94,19,113,495%
,,,,,,,,,,,,,,,Saint  Pierre  and  Miquelon,0,0,0,,,,,,,Namibia,94,19,113,495%
,,,,,,,,,,,,,,,South Georgia and the South Sandwich Islands,0,0,0,,,,,,,Zambia,74,15,89,493%
,,,,,,,,,,,,,,,St.  Kitts  and  Nevis,7,46,53,,,,,,,El Salvador,34,7,41,486%
,,,,,,,,,,,,,,,St.  Maarten,0,0,0,,,,,,,Timor0Leste,136,28,164,486%
,,,,,,,,,,,,,,,St.  Vincent  and  The  Grenadines,0,1,1,,,,,,,Seychelles,241,50,291,482%
,,,,,,,,,,,,,,,Surinam,,1,1,,,,,,,Turkmenistan,390,81,471,481%
,,,,,,,,,,,,,,,Suriname,18,,18,,,,,,,Turkmenistan,194,41,235,473%
,,,,,,,,,,,,,,,The United States of America,112815,82470,195285,,,,,,,República Dominicana,123,26,149,473%
,,,,,,,,,,,,,,,Trinidad and Tobago,28,19,47,,,,,,,Seychelles,227,48,275,473%
,,,,,,,,,,,,,,,Turks  and  Caicos,0,0,0,,,,,,,Malawi,23,5,28,460%
,,,,,,,,,,,,,,,United  States Virgin  Island,0,0,0,,,,,,,Paraguay,59,13,72,454%
,,,,,,,,,,,,,,,Uruguay,480,137,617,,,,,,,Turkmenistan,99,22,121,450%
,,,,,,,,,,,,,,,Venezuela,70,56,126,,,,,,,Timor0Leste,89,20,109,445%
,,,,,,,,,,,,,,,Asia and the Pacific,2607030,1281532,3888562,,,,,,,Guinea,80,18,98,444%
,,,,,,,,,,,,,,,Afganistan,,26,26,,,,,,,Angola,35,8,43,438%
,,,,,,,,,,,,,,,Afghanistan,169,,169,,,,,,,Turkmenistan,56,13,69,431%
,,,,,,,,,,,,,,,American Samoa,0,2,2,,,,,,,Seychelles,288,67,355,430%
,,,,,,,,,,,,,,,Ashmore and  Cartier  Islands,0,,0,,,,,,,Madagascar,196,46,242,426%
,,,,,,,,,,,,,,,Australia,71809,57315,129124,,,,,,,Malawi,17,4,21,425%
,,,,,,,,,,,,,,,Baker  Island,0,0,0,,,,,,,San Marino,17,4,21,425%
,,,,,,,,,,,,,,,Bangladesh,10257,10724,20981,,,,,,,Botswana,102,24,126,425%
,,,,,,,,,,,,,,,Bhutan,3430,3784,7214,,,,,,,Namibia,140,33,173,424%
,,,,,,,,,,,,,,,Bouvet  Island,0,0,0,,,,,,,Seychelles,257,61,318,421%
,,,,,,,,,,,,,,,British Antarctic Territory,0,0,0,,,,,,,Panama,126,30,156,420%
,,,,,,,,,,,,,,,British Indian Ocean Territory,0,0,0,,,,,,,Monaco,33,8,41,413%
,,,,,,,,,,,,,,,Brunei,1410,748,2158,,,,,,,Panama,103,25,128,412%
,,,,,,,,,,,,,,,Cambodia,76266,46235,122501,,,,,,,Zambia,61,15,76,407%
,,,,,,,,,,,,,,,Caroline Islands,0,0,0,,,,,,,Botswana,146,36,182,406%
,,,,,,,,,,,,,,,China,1076816,91841,1168657,,,,,,,Gabon,4,1,5,400%
,,,,,,,,,,,,,,,Christmas Island,0,0,0,,,,,,,Guyana,8,2,10,400%
,,,,,,,,,,,,,,,Cocos( Kelling)Islands,0,0,0,,,,,,,Palau,4,1,5,400%
,,,,,,,,,,,,,,,Cook  Islands,2,0,2,,,,,,,Cape Verde Rep.,4,1,5,400%
,,,,,,,,,,,,,,,Coral  Sea  Islands,0,0,0,,,,,,,Guinea0Bissau,4,1,5,400%
,,,,,,,,,,,,,,,Fiji,187,74,261,,,,,,,Monaco,24,6,30,400%
,,,,,,,,,,,,,,,French  Polynesia,58,0,58,,,,,,,Guinea0Bissau,4,1,5,400%
,,,,,,,,,,,,,,,Guam,47,0,47,,,,,,,Lesotho,20,5,25,400%
,,,,,,,,,,,,,,,Heard  and  Mcdonald  Islands,0,0,0,,,,,,,Rwanda,20,5,25,400%
,,,,,,,,,,,,,,,Hong Kong (China),63205,59816,123021,,,,,,,Togo,16,4,20,400%
,,,,,,,,,,,,,,,Howland Island,0,0,0,,,,,,,Benin,20,5,25,400%
,,,,,,,,,,,,,,,India,162537,103316,265853,,,,,,,Seychelles,182,46,228,396%
,,,,,,,,,,,,,,,Indonesia,54816,45410,100226,,,,,,,Uruguay,280,71,351,394%
,,,,,,,,,,,,,,,Iran,2896,2173,5069,,,,,,,Timor0Leste,129,33,162,391%
