ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,
ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,Recovery rate
,,,,,,,,,,,,,,,Isle of Man,11,0,11,,,,,,,Malaysia,327078,362070,689148,90%
,,,,,,,,,,,,,,,Israel,8386,13134,21520,,,,,,,Slovenia,303,336,639,90%
,,,,,,,,,,,,,,,Italy,10327,8055,18382,,,,,,,Moldova,55,61,116,90%
,,,,,,,,,,,,,,,Jersey,34,0,34,,,,,,,Mauritius,814,903,1717,90%
,,,,,,,,,,,,,,,Kazakhstan,1238,6408,7646,,,,,,,Russian Federation,45731,50734,96465,90%
,,,,,,,,,,,,,,,Kosovo,0,24,24,,,,,,,Poland,4022,4469,8491,90%
,,,,,,,,,,,,,,,Kyrgyzstan,103,106,209,,,,,,,Myanmar,30775,34206,64981,90%
,,,,,,,,,,,,,,,Latvia,250,245,495,,,,,,,Jordan,1064,1183,2247,90%
,,,,,,,,,,,,,,,Liechtenstein,42,28,70,,,,,,,Bulgaria,2210,2461,4671,90%
,,,,,,,,,,,,,,,Lithuania,350,578,928,,,,,,,Bangladesh,12141,13521,25662,90%
,,,,,,,,,,,,,,,Luxembourg,243,190,433,,,,,,,Vietnam,101648,113239,214887,90%
,,,,,,,,,,,,,,,Madiera Islands,0,0,0,,,,,,,Lithuania,1280,1426,2706,90%
,,,,,,,,,,,,,,,Malta,143,94,237,,,,,,,Zimbabwe,61,68,129,90%
,,,,,,,,,,,,,,,Moldova,56,33,89,,,,,,,Cyprus,179,200,379,90%
,,,,,,,,,,,,,,,Monaco,33,8,41,,,,,,,Ireland,4153,4641,8794,89%
,,,,,,,,,,,,,,,Montenegro,9,16,25,,,,,,,Estonia,220,246,466,89%
,,,,,,,,,,,,,,,Netherlands,11190,11255,22445,,,,,,,Netherlands,12351,13820,26171,89%
,,,,,,,,,,,,,,,North Macedonia,57,24,81,,,,,,,Liechtenstein,25,28,53,89%
,,,,,,,,,,,,,,,Norway,9335,6853,16188,,,,,,,Sudan,382,428,810,89%
,,,,,,,,,,,,,,,Poland,4082,3498,7580,,,,,,,Iraq,538,603,1141,89%
,,,,,,,,,,,,,,,Portugal,2458,2273,4731,,,,,,,Indonesia,63707,71481,135188,89%
,,,,,,,,,,,,,,,Romania,845,1104,1949,,,,,,,Netherlands,14921,16748,31669,89%
,,,,,,,,,,,,,,,Russian Federation,45731,50734,96465,,,,,,,Myanmar,28593,32124,60717,89%
,,,,,,,,,,,,,,,San Marino,5,4,9,,,,,,,Syria,363,408,771,89%
,,,,,,,,,,,,,,,Serbia,194,192,386,,,,,,,ALBANIA,153,172,325,89%
,,,,,,,,,,,,,,,Slovakia,834,771,1605,,,,,,,Bulgaria,289,325,614,89%
,,,,,,,,,,,,,,,Slovenia,359,385,744,,,,,,,Hungary,841,946,1787,89%
,,,,,,,,,,,,,,,Spain,10868,9917,20785,,,,,,,Iran,4836,5442,10278,89%
,,,,,,,,,,,,,,,Sweden,10627,8543,19170,,,,,,,Peru,500,563,1063,89%
,,,,,,,,,,,,,,,Switzerland,8375,5789,14164,,,,,,,Slovakia,3093,3484,6577,89%
,,,,,,,,,,,,,,,Tajikistan,59,70,129,,,,,,,Turkey,4838,5455,10293,89%
,,,,,,,,,,,,,,,Turkey,4838,5455,10293,,,,,,,Portugal,4911,5539,10450,89%
,,,,,,,,,,,,,,,Turkmenistan,143,21,164,,,,,,,Fiji,117,132,249,89%
,,,,,,,,,,,,,,,Ukraine,2145,1901,4046,,,,,,,Jordan,906,1023,1929,89%
,,,,,,,,,,,,,,,United Kingdom,61866,48637,110503,,,,,,,Oman,15392,17384,32776,89%
,,,,,,,,,,,,,,,Utopia,0,0,0,,,,,,,Latvia,185,209,394,89%
,,,,,,,,,,,,,,,Uzbekistan,937,1517,2454,,,,,,,Oman,7493,8487,15980,88%
,,,,,,,,,,,,,,,Vatican City State,0,0,0,,,,,,,Netherlands,20051,22716,42767,88%
,,,,,,,,,,,,,,,Yugoslavia,0,,0,,,,,,,Oman,4823,5474,10297,88%
,,,,,,,,,,,,,,,Middle East,52037,67329,119366,,,,,,,Malaysia,353577,401394,754971,88%
,,,,,,,,,,,,,,,Bahrain,2960,3468,6428,,,,,,,Philippines,40763,46350,87113,88%
,,,,,,,,,,,,,,,Egypt,1584,1382,2966,,,,,,,Lithuania,923,1050,1973,88%
,,,,,,,,,,,,,,,Iraq,312,226,538,,,,,,,Brunei,1363,1551,2914,88%
,,,,,,,,,,,,,,,Jordan,1064,1183,2247,,,,,,,Romania,2586,2945,5531,88%
,,,,,,,,,,,,,,,Kuwait,11063,8243,19306,,,,,,,Greece,1521,1733,3254,88%
,,,,,,,,,,,,,,,Lebanon,360,305,665,,,,,,,Croatia,1327,1512,2839,88%
,,,,,,,,,,,,,,,Libia,,28,28,,,,,,,Bulgaria,867,988,1855,88%
,,,,,,,,,,,,,,,Libya,37,,37,,,,,,,Kyrgyzstan,121,138,259,88%
,,,,,,,,,,,,,,,Oman,10818,7539,18357,,,,,,,Ireland,5217,5950,11167,88%
,,,,,,,,,,,,,,,Palestine,102,366,468,,,,,,,Malaysia,339832,388197,728029,88%
,,,,,,,,,,,,,,,Qatar,4077,6758,10835,,,,,,,Germany,36250,41418,77668,88%
,,,,,,,,,,,,,,,Saudi Arabia,6772,20301,27073,,,,,,,Saint  Lucia,7,8,15,88%
,,,,,,,,,,,,,,,Syria,448,405,853,,,,,,,Bolivia,42,48,90,88%
,,,,,,,,,,,,,,,U.A.E.,11624,16059,27683,,,,,,,Iran,4751,5440,10191,87%
,,,,,,,,,,,,,,,Yemen,816,1066,1882,,,,,,,Mauritius,693,794,1487,87%
,,,,,,,,,,,,,,,other,641,,641,,,,,,,Taiwan,63624,72900,136524,87%
,,,,,,,,,,,,,,,stateless person,641,,641,,,,,,,Pakistan,6221,7138,13359,87%
,,,,,,,,,,,,,,,Unspecified,0,,0,,,,,,,New Zealand,8179,9385,17564,87%
,,,,,,,,,,,,,,,Jul,3342750,2490643,5833393,,,,,,,Peru,439,504,943,87%
,,,,,,,,,,,,,,,Africa,15073,10332,25405,,,,,,,Malaysia,355349,408356,763705,87%
,,,,,,,,,,,,,,,Algeria,274,183,457,,,,,,,Belarus,529,608,1137,87%
,,,,,,,,,,,,,,,Angola,17,1,18,,,,,,,Bulgaria,346,398,744,87%
,,,,,,,,,,,,,,,Benin,18,6,24,,,,,,,Indonesia,56097,64554,120651,87%
,,,,,,,,,,,,,,,Bophuthatswana,0,0,0,,,,,,,Turkey,7642,8813,16455,87%
,,,,,,,,,,,,,,,Botswana,69,10,79,,,,,,,Montenegro,91,105,196,87%
,,,,,,,,,,,,,,,Burkina  Faso,24,20,44,,,,,,,Mexico,1932,2235,4167,86%
,,,,,,,,,,,,,,,Burundi,7,1,8,,,,,,,Sudan,357,413,770,86%
,,,,,,,,,,,,,,,Cameroon,56,49,105,,,,,,,Azerbaijan,187,217,404,86%
,,,,,,,,,,,,,,,Canary  Islands,0,0,0,,,,,,,Myanmar,28130,32666,60796,86%
,,,,,,,,,,,,,,,Cape Verde Rep.,2,4,6,,,,,,,Malaysia,376890,438556,815446,86%
,,,,,,,,,,,,,,,Central African Republic,0,0,0,,,,,,,Portugal,2234,2602,4836,86%
,,,,,,,,,,,,,,,Ceuta,0,0,0,,,,,,,Peru,577,673,1250,86%
,,,,,,,,,,,,,,,Chad,15,14,29,,,,,,,Haiti,6,7,13,86%
,,,,,,,,,,,,,,,ciskei,0,,0,,,,,,,Antigua  and  Barbuda,6,7,13,86%
,,,,,,,,,,,,,,,Comoros,82,246,328,,,,,,,Honduras,18,21,39,86%
,,,,,,,,,,,,,,,Côte d'Ivoire,53,40,93,,,,,,,Pakistan,5241,6117,11358,86%
,,,,,,,,,,,,,,,Djibouti,30,4,34,,,,,,,Malaysia,318009,371200,689209,86%
,,,,,,,,,,,,,,,Equatorial  Guinea,0,2,2,,,,,,,Peru,375,438,813,86%
,,,,,,,,,,,,,,,Eritrea,18,66,84,,,,,,,Lithuania,446,522,968,85%
,,,,,,,,,,,,,,,Eswatini,8,3,11,,,,,,,Bahrain,2960,3468,6428,85%
,,,,,,,,,,,,,,,Ethiopia,2152,1205,3357,,,,,,,Israel,18380,21651,40031,85%
,,,,,,,,,,,,,,,Gabon,1,6,7,,,,,,,Mexico,1581,1865,3446,85%
,,,,,,,,,,,,,,,Gambia,7,10,17,,,,,,,Romania,1252,1477,2729,85%
,,,,,,,,,,,,,,,Ghana,102,48,150,,,,,,,Mexico,2263,2671,4934,85%
,,,,,,,,,,,,,,,Guinea,72,25,97,,,,,,,Eswatini,11,13,24,85%
,,,,,,,,,,,,,,,Guinea0Bissau,0,1,1,,,,,,,Honduras,22,26,48,85%
,,,,,,,,,,,,,,,Kenya,632,327,959,,,,,,,Tajikistan,59,70,129,84%
,,,,,,,,,,,,,,,Lesotho,20,5,25,,,,,,,Liberia,16,19,35,84%
,,,,,,,,,,,,,,,Liberia,37,20,57,,,,,,,Romania,1899,2256,4155,84%
,,,,,,,,,,,,,,,Madagascar,186,19,205,,,,,,,Iran,3947,4706,8653,84%
,,,,,,,,,,,,,,,Malawi,47,17,64,,,,,,,Montenegro,31,37,68,84%
,,,,,,,,,,,,,,,Mali,48,36,84,,,,,,,Mauritius,626,748,1374,84%
,,,,,,,,,,,,,,,Mauritania,8,5,13,,,,,,,Uzbekistan,1435,1715,3150,84%
,,,,,,,,,,,,,,,Mauritius,818,688,1506,,,,,,,Romania,6164,7367,13531,84%
,,,,,,,,,,,,,,,Mauritun,0,0,0,,,,,,,Morocco,634,758,1392,84%
,,,,,,,,,,,,,,,Mayotte,30,0,30,,,,,,,San Marino,35,42,77,83%
,,,,,,,,,,,,,,,Melilla,0,0,0,,,,,,,Belize,5,6,11,83%
,,,,,,,,,,,,,,,Morocco,1312,903,2215,,,,,,,Latvia,401,483,884,83%
,,,,,,,,,,,,,,,Mozambique,100,35,135,,,,,,,Comoros,73,88,161,83%
,,,,,,,,,,,,,,,Namibia,94,19,113,,,,,,,Vietnam,59003,71189,130192,83%
,,,,,,,,,,,,,,,Niger,6,9,15,,,,,,,Uzbekistan,4086,4940,9026,83%
,,,,,,,,,,,,,,,Nigeria,258,137,395,,,,,,,Bulgaria,220,266,486,83%
,,,,,,,,,,,,,,,République Démocratique du Congo,2,19,21,,,,,,,Myanmar,38081,46045,84126,83%
,,,,,,,,,,,,,,,République du Congo,57,10,67,,,,,,,Czech Republic,5572,6754,12326,82%
,,,,,,,,,,,,,,,Reunion,1299,0,1299,,,,,,,Bulgaria,244,296,540,82%
,,,,,,,,,,,,,,,Rwanda,22,6,28,,,,,,,Ecuador,167,203,370,82%
,,,,,,,,,,,,,,,Saint  Helena,0,1,1,,,,,,,Greece,467,568,1035,82%
,,,,,,,,,,,,,,,Sao Tome/Principe,0,0,0,,,,,,,Indonesia,54019,65709,119728,82%
,,,,,,,,,,,,,,,Senegal,77,49,126,,,,,,,Middle East,71217,87012,158229,82%
,,,,,,,,,,,,,,,Seychelles,241,50,291,,,,,,,Sierra Leone,9,11,20,82%
,,,,,,,,,,,,,,,Sierra Leone,4,8,12,,,,,,,Fiji,112,137,249,82%
,,,,,,,,,,,,,,,Somalia,18,62,80,,,,,,,Mauritius,1438,1760,3198,82%
,,,,,,,,,,,,,,,South  Africa,5284,5043,10327,,,,,,,Ireland,3699,4535,8234,82%
,,,,,,,,,,,,,,,South Sudan,0,1,1,,,,,,,U.A.E.,9075,11132,20207,82%
,,,,,,,,,,,,,,,Sudan,382,428,810,,,,,,,Serbia,269,330,599,82%
,,,,,,,,,,,,,,,Tanzania,144,113,257,,,,,,,Peru,396,486,882,81%
,,,,,,,,,,,,,,,Togo,37,3,40,,,,,,,Ireland,5707,7042,12749,81%
,,,,,,,,,,,,,,,Transkei,0,0,0,,,,,,,Tajikistan,64,79,143,81%
,,,,,,,,,,,,,,,Tunisia,571,197,768,,,,,,,Iran,4732,5848,10580,81%
,,,,,,,,,,,,,,,Uganda,211,118,329,,,,,,,U.A.E.,12502,15477,27979,81%
,,,,,,,,,,,,,,,Western  Sahara,0,0,0,,,,,,,Uruguay,479,593,1072,81%
,,,,,,,,,,,,,,,Zambia,48,19,67,,,,,,,Mongolia,4144,5138,9282,81%
,,,,,,,,,,,,,,,Zimbabwe,73,41,114,,,,,,,Kuwait,13954,17304,31258,81%
,,,,,,,,,,,,,,,America,113469,96758,210227,,,,,,,Ireland,3655,4548,8203,80%
,,,,,,,,,,,,,,,Anguilla,0,0,0,,,,,,,ALBANIA,101,126,227,80%
,,,,,,,,,,,,,,,Antigua  and  Barbuda,5,17,22,,,,,,,San Marino,16,20,36,80%
,,,,,,,,,,,,,,,Argentina,1213,791,2004,,,,,,,Mali,32,40,72,80%
,,,,,,,,,,,,,,,Aruba,0,0,0,,,,,,,Haiti,4,5,9,80%
,,,,,,,,,,,,,,,Bahamas,12,7,19,,,,,,,Gambia,4,5,9,80%
,,,,,,,,,,,,,,,Barbados,2,2,4,,,,,,,Barbados,4,5,9,80%
,,,,,,,,,,,,,,,Belize,7,22,29,,,,,,,Ireland,4170,5222,9392,80%
,,,,,,,,,,,,,,,Bermuda,24,0,24,,,,,,,ALBANIA,71,89,160,80%
,,,,,,,,,,,,,,,Bolivia,100,47,147,,,,,,,Chile,1131,1418,2549,80%
,,,,,,,,,,,,,,,Bonaire,0,0,0,,,,,,,Mali,55,69,124,80%
,,,,,,,,,,,,,,,Brazil,2336,2197,4533,,,,,,,Chile,1056,1328,2384,80%
,,,,,,,,,,,,,,,British  Virgin  Islands,0,0,0,,,,,,,Slovakia,760,957,1717,79%
,,,,,,,,,,,,,,,British Colony,0,0,0,,,,,,,Mongolia,2528,3192,5720,79%
,,,,,,,,,,,,,,,Canada,15272,13023,28295,,,,,,,Mauritius,610,772,1382,79%
,,,,,,,,,,,,,,,Cayman  Islands,20,0,20,,,,,,,Georgia,86,109,195,79%
,,,,,,,,,,,,,,,Chile,827,763,1590,,,,,,,Jordan,810,1027,1837,79%
,,,,,,,,,,,,,,,Clipperton  Island,0,0,0,,,,,,,Turkey,3989,5063,9052,79%
,,,,,,,,,,,,,,,Colombia,827,511,1338,,,,,,,Ireland,3312,4215,7527,79%
,,,,,,,,,,,,,,,Costa rica,119,86,205,,,,,,,Portugal,2828,3603,6431,78%
,,,,,,,,,,,,,,,Cuba,26,23,49,,,,,,,Indonesia,64171,82088,146259,78%
,,,,,,,,,,,,,,,Curacao,1,0,1,,,,,,,Bahrain,1933,2474,4407,78%
,,,,,,,,,,,,,,,Dominica,6,50,56,,,,,,,Bosnia0Herzegovina,107,137,244,78%
,,,,,,,,,,,,,,,Ecuador,106,104,210,,,,,,,Liechtenstein,57,73,130,78%
,,,,,,,,,,,,,,,El Salvador,34,7,41,,,,,,,Chad,7,9,16,78%
,,,,,,,,,,,,,,,Falkland  Islands,0,0,0,,,,,,,Angola,7,9,16,78%
,,,,,,,,,,,,,,,French  Guiana,0,0,0,,,,,,,Turkey,3016,3891,6907,78%
,,,,,,,,,,,,,,,Greenland,23,0,23,,,,,,,Georgia,75,97,172,77%
,,,,,,,,,,,,,,,Grenada,7,18,25,,,,,,,Middle East,52037,67329,119366,77%
,,,,,,,,,,,,,,,Guadalope,62,0,62,,,,,,,Zimbabwe,85,110,195,77%
,,,,,,,,,,,,,,,Guatamala,,34,34,,,,,,,Mongolia,550,714,1264,77%
,,,,,,,,,,,,,,,Guatemala,50,,50,,,,,,,Uzbekistan,1415,1837,3252,77%
,,,,,,,,,,,,,,,Guyana,17,3,20,,,,,,,Bulgaria,1383,1798,3181,77%
,,,,,,,,,,,,,,,Haiti,7,3,10,,,,,,,Romania,951,1238,2189,77%
,,,,,,,,,,,,,,,Honduras,18,21,39,,,,,,,Greece,902,1177,2079,77%
,,,,,,,,,,,,,,,Jamaica,27,,27,,,,,,,Yemen,816,1066,1882,77%
,,,,,,,,,,,,,,,Jamica,,27,27,,,,,,,Romania,845,1104,1949,77%
,,,,,,,,,,,,,,,Martinique,20,0,20,,,,,,,Israel,16311,21314,37625,77%
,,,,,,,,,,,,,,,Mexico,3050,2224,5274,,,,,,,Liberia,13,17,30,76%
,,,,,,,,,,,,,,,Montserrat,1,0,1,,,,,,,Mongolia,581,760,1341,76%
,,,,,,,,,,,,,,,Navassa Island,0,,0,,,,,,,Russian Federation,52439,68660,121099,76%
,,,,,,,,,,,,,,,Netherlands  Antilles,0,0,0,,,,,,,Sudan,273,358,631,76%
,,,,,,,,,,,,,,,Nicaragua,10,7,17,,,,,,,Syria,231,303,534,76%
,,,,,,,,,,,,,,,Panama,100,35,135,,,,,,,Mexico,3923,5158,9081,76%
,,,,,,,,,,,,,,,Paraguay,20,39,59,,,,,,,Estonia,289,380,669,76%
,,,,,,,,,,,,,,,Peru,396,486,882,,,,,,,Israel,18483,24321,42804,76%
,,,,,,,,,,,,,,,Puerto Rico,52,0,52,,,,,,,Middle East,36360,47861,84221,76%
,,,,,,,,,,,,,,,República Dominicana,25,23,48,,,,,,,Mongolia,593,781,1374,76%
,,,,,,,,,,,,,,,Saba,0,0,0,,,,,,,Greece,1167,1537,2704,76%
,,,,,,,,,,,,,,,Saint  Barthelemy,1,0,1,,,,,,,Ecuador,186,245,431,76%
,,,,,,,,,,,,,,,Saint  Eustatius,0,0,0,,,,,,,Maldives,2256,2973,5229,76%
,,,,,,,,,,,,,,,Saint  Lucia,5,8,13,,,,,,,Indonesia,46658,62203,108861,75%
,,,,,,,,,,,,,,,Saint  Martin,0,0,0,,,,,,,Cape Verde Rep.,3,4,7,75%
,,,,,,,,,,,,,,,Saint  Pierre  and  Miquelon,4,0,4,,,,,,,Barbados,3,4,7,75%
,,,,,,,,,,,,,,,South Georgia and the South Sandwich Islands,0,0,0,,,,,,,Barbados,3,4,7,75%
,,,,,,,,,,,,,,,St.  Kitts  and  Nevis,17,56,73,,,,,,,Gabon,3,4,7,75%
,,,,,,,,,,,,,,,St.  Maarten,0,0,0,,,,,,,Haiti,3,4,7,75%
,,,,,,,,,,,,,,,St.  Vincent  and  The  Grenadines,0,6,6,,,,,,,ALBANIA,98,131,229,75%
,,,,,,,,,,,,,,,Surinam,,6,6,,,,,,,Turkey,4416,5945,10361,74%
,,,,,,,,,,,,,,,Suriname,7,,7,,,,,,,ALBANIA,43,58,101,74%
,,,,,,,,,,,,,,,The United States of America,88356,75914,164270,,,,,,,El Salvador,20,27,47,74%
,,,,,,,,,,,,,,,Trinidad and Tobago,25,40,65,,,,,,,Mali,37,50,87,74%
,,,,,,,,,,,,,,,Turks  and  Caicos,0,0,0,,,,,,,Middle East,82596,111855,194451,74%
,,,,,,,,,,,,,,,United  States Virgin  Island,0,0,0,,,,,,,Bangladesh,10048,13624,23672,74%
,,,,,,,,,,,,,,,Uruguay,170,61,231,,,,,,,Kuwait,4939,6704,11643,74%
,,,,,,,,,,,,,,,Venezuela,62,97,159,,,,,,,Gambia,11,15,26,73%
,,,,,,,,,,,,,,,Asia and the Pacific,2694705,1884948,4579653,,,,,,,Bolivia,49,67,116,73%
,,,,,,,,,,,,,,,Afganistan,,41,41,,,,,,,Liechtenstein,62,85,147,73%
,,,,,,,,,,,,,,,Afghanistan,146,,146,,,,,,,Israel,8156,11191,19347,73%
,,,,,,,,,,,,,,,American Samoa,0,3,3,,,,,,,Honduras,16,22,38,73%
,,,,,,,,,,,,,,,Ashmore and  Cartier  Islands,0,,0,,,,,,,Nicaragua,8,11,19,73%
,,,,,,,,,,,,,,,Australia,70980,62352,133332,,,,,,,U.A.E.,11624,16059,27683,72%
,,,,,,,,,,,,,,,Baker  Island,0,0,0,,,,,,,Yemen,265,368,633,72%
,,,,,,,,,,,,,,,Bangladesh,10048,13624,23672,,,,,,,Syria,156,217,373,72%
,,,,,,,,,,,,,,,Bhutan,2421,1591,4012,,,,,,,Russian Federation,46676,64937,111613,72%
,,,,,,,,,,,,,,,Bouvet  Island,0,0,0,,,,,,,Ireland,3930,5474,9404,72%
,,,,,,,,,,,,,,,British Antarctic Territory,0,0,0,,,,,,,Maldives,1684,2357,4041,71%
,,,,,,,,,,,,,,,British Indian Ocean Territory,0,0,0,,,,,,,Burundi,5,7,12,71%
,,,,,,,,,,,,,,,Brunei,1720,1198,2918,,,,,,,Somalia,15,21,36,71%
,,,,,,,,,,,,,,,Cambodia,80616,47878,128494,,,,,,,Saint  Lucia,5,7,12,71%
,,,,,,,,,,,,,,,Caroline Islands,0,0,0,,,,,,,Israel,19302,27135,46437,71%
,,,,,,,,,,,,,,,China,1004061,410311,1414372,,,,,,,Mongolia,555,781,1336,71%
,,,,,,,,,,,,,,,Christmas Island,0,0,0,,,,,,,Estonia,269,380,649,71%
,,,,,,,,,,,,,,,Cocos( Kelling)Islands,0,0,0,,,,,,,Middle East,31575,44644,76219,71%
,,,,,,,,,,,,,,,Cook  Islands,9,0,9,,,,,,,Middle East,32253,45710,77963,71%
,,,,,,,,,,,,,,,Coral  Sea  Islands,0,0,0,,,,,,,Bulgaria,308,437,745,70%
,,,,,,,,,,,,,,,Fiji,121,107,228,,,,,,,Paraguay,31,44,75,70%
,,,,,,,,,,,,,,,French  Polynesia,48,0,48,,,,,,,Iran,2647,3760,6407,70%
,,,,,,,,,,,,,,,Guam,91,0,91,,,,,,,Mongolia,627,893,1520,70%
,,,,,,,,,,,,,,,Heard  and  Mcdonald  Islands,0,0,0,,,,,,,ALBANIA,40,57,97,70%
,,,,,,,,,,,,,,,Hong Kong (China),110167,93907,204074,,,,,,,San Marino,7,10,17,70%
,,,,,,,,,,,,,,,Howland Island,0,0,0,,,,,,,Paraguay,14,20,34,70%
,,,,,,,,,,,,,,,India,159355,128070,287425,,,,,,,Gambia,7,10,17,70%
,,,,,,,,,,,,,,,Indonesia,66799,71526,138325,,,,,,,Grenada,7,10,17,70%
,,,,,,,,,,,,,,,Iran,2647,3760,6407,,,,,,,Ireland,4114,5900,10014,70%
,,,,,,,,,,,,,,,Japan,133023,66164,199187,,,,,,,Mauritius,797,1150,1947,69%
,,,,,,,,,,,,,,,Jarvis  Island,0,0,0,,,,,,,Turkey,6523,9415,15938,69%
,,,,,,,,,,,,,,,Johnston Atoll,0,0,0,,,,,,,Somalia,18,26,44,69%
,,,,,,,,,,,,,,,Kingman  Reef,0,0,0,,,,,,,Yemen,490,709,1199,69%
,,,,,,,,,,,,,,,Kiribati,2,1,3,,,,,,,Venezuela,38,55,93,69%
,,,,,,,,,,,,,,,Korea (Republic of),165600,150385,315985,,,,,,,Nauru,29,42,71,69%
,,,,,,,,,,,,,,,Laos,170504,83014,253518,,,,,,,Trinidad and Tobago,29,42,71,69%
,,,,,,,,,,,,,,,Macao (China),10291,6137,16428,,,,,,,Sudan,222,323,545,69%
,,,,,,,,,,,,,,,Malaysia,318009,371200,689209,,,,,,,Russian Federation,45736,66602,112338,69%
,,,,,,,,,,,,,,,Maldives,2281,4287,6568,,,,,,,Georgia,80,117,197,68%
,,,,,,,,,,,,,,,Marshall Islands,1,1,2,,,,,,,Venezuela,73,107,180,68%
,,,,,,,,,,,,,,,Micronesia FSM,0,0,0,,,,,,,Montenegro,15,22,37,68%
,,,,,,,,,,,,,,,Midway  Islands,0,0,0,,,,,,,Mauritius,785,1153,1938,68%
,,,,,,,,,,,,,,,Mongolia,694,1217,1911,,,,,,,Venezuela,57,84,141,68%
,,,,,,,,,,,,,,,Myanmar,32870,34698,67568,,,,,,,Iraq,175,258,433,68%
,,,,,,,,,,,,,,,N. Mariana Islands,0,0,0,,,,,,,Qatar,1994,2941,4935,68%
,,,,,,,,,,,,,,,Nauru,7,4,11,,,,,,,Mauritius,658,972,1630,68%
,,,,,,,,,,,,,,,Nepal,5785,2906,8691,,,,,,,Chile,1010,1493,2503,68%
,,,,,,,,,,,,,,,New Caledonia,154,0,154,,,,,,,Romania,677,1001,1678,68%
,,,,,,,,,,,,,,,New Zealand,10569,8938,19507,,,,,,,Palestine,110,164,274,67%
,,,,,,,,,,,,,,,Niue,0,0,0,,,,,,,Lithuania,297,444,741,67%
,,,,,,,,,,,,,,,Norfalk  Island,0,0,0,,,,,,,Eswatini,6,9,15,67%
,,,,,,,,,,,,,,,North Korea,0,0,0,,,,,,,Gabon,2,3,5,67%
,,,,,,,,,,,,,,,Pakistan,6221,7138,13359,,,,,,,Niger,6,9,15,67%
,,,,,,,,,,,,,,,Palau,4,0,4,,,,,,,Grenada,8,12,20,67%
,,,,,,,,,,,,,,,Palmyra Atoll,0,0,0,,,,,,,Cape Verde Rep.,2,3,5,67%
,,,,,,,,,,,,,,,Papua New Guinea,93,46,139,,,,,,,Nauru,2,3,5,67%
,,,,,,,,,,,,,,,Philippines,40763,46350,87113,,,,,,,Liberia,14,21,35,67%
,,,,,,,,,,,,,,,Pitcairn Islands,0,0,0,,,,,,,Kiribati,2,3,5,67%
,,,,,,,,,,,,,,,Ross  Dependency,0,0,0,,,,,,,Equatorial  Guinea,2,3,5,67%
,,,,,,,,,,,,,,,Samoa,8,0,8,,,,,,,Niger,8,12,20,67%
,,,,,,,,,,,,,,,Singapore,86423,75307,161730,,,,,,,Jordan,749,1124,1873,67%
,,,,,,,,,,,,,,,Solomon  Islands,9,1,10,,,,,,,Ireland,5165,7793,12958,66%
,,,,,,,,,,,,,,,Sri Lanka,4939,2823,7762,,,,,,,Bosnia0Herzegovina,37,56,93,66%
,,,,,,,,,,,,,,,Taiwan,66921,67987,134908,,,,,,,Palestine,92,140,232,66%
,,,,,,,,,,,,,,,Timor0Leste,136,27,163,,,,,,,Jordan,900,1373,2273,66%
,,,,,,,,,,,,,,,Tokelau,0,0,0,,,,,,,Somalia,15,23,38,65%
,,,,,,,,,,,,,,,Tonga,12,7,19,,,,,,,Bosnia0Herzegovina,110,169,279,65%
,,,,,,,,,,,,,,,Trust Pacific,0,0,0,,,,,,,Israel,17542,26968,44510,65%
,,,,,,,,,,,,,,,Tuvalu,0,0,0,,,,,,,Middle East,32790,50436,83226,65%
,,,,,,,,,,,,,,,United States Minor Outlying Island,0,0,0,,,,,,,Bosnia0Herzegovina,113,174,287,65%
,,,,,,,,,,,,,,,Vanautu,,158,158,,,,,,,Venezuela,46,71,117,65%
,,,,,,,,,,,,,,,Vanuatu,57,,57,,,,,,,Kyrgyzstan,338,522,860,65%
,,,,,,,,,,,,,,,Vietnam,130100,121784,251884,,,,,,,Mauritius,422,654,1076,65%
,,,,,,,,,,,,,,,Wake  Island,0,0,0,,,,,,,Mexico,1267,1968,3235,64%
,,,,,,,,,,,,,,,Wallis  and  Futuna  Islands,0,0,0,,,,,,,Saint  Lucia,9,14,23,64%
,,,,,,,,,,,,,,,Europe,436389,386750,823139,,,,,,,Bhutan,1639,2564,4203,64%
,,,,,,,,,,,,,,,ALBANIA,53,51,104,,,,,,,Venezuela,62,97,159,64%
,,,,,,,,,,,,,,,ANDORRA,50,41,91,,,,,,,Israel,8386,13134,21520,64%
,,,,,,,,,,,,,,,Armenia,86,49,135,,,,,,,Tonga,7,11,18,64%
,,,,,,,,,,,,,,,Austria,8034,7012,15046,,,,,,,Georgia,60,95,155,63%
,,,,,,,,,,,,,,,Azerbaijan,105,48,153,,,,,,,Kyrgyzstan,120,190,310,63%
,,,,,,,,,,,,,,,Belarus,324,264,588,,,,,,,Montenegro,24,38,62,63%
,,,,,,,,,,,,,,,Belgium,14953,10581,25534,,,,,,,Angola,12,19,31,63%
